# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.23e+02  1.27e+02    6.21e+00  6.18e+00    3.88e+00  4.02e+00    1.0e-03
   1000    3.85e+00  4.05e+00    2.63e-02  2.63e-02    1.38e-01  1.46e-01    7.7e-04
   2000    3.23e+00  3.44e+00    2.39e-02  2.41e-02    1.32e-01  1.41e-01    6.0e-04
   3000    2.77e+00  2.98e+00    2.77e-02  2.77e-02    1.29e-01  1.39e-01    4.6e-04
   4000    2.38e+00  2.57e+00    3.38e-02  3.39e-02    1.26e-01  1.36e-01    3.6e-04
   5000    2.08e+00  2.25e+00    2.43e-02  2.43e-02    1.25e-01  1.35e-01    2.8e-04
   6000    1.79e+00  1.94e+00    1.47e-02  1.48e-02    1.22e-01  1.32e-01    2.1e-04
   7000    1.55e+00  1.68e+00    6.04e-03  5.96e-03    1.20e-01  1.30e-01    1.7e-04
   8000    1.34e+00  1.46e+00    1.90e-02  1.89e-02    1.18e-01  1.28e-01    1.3e-04
   9000    1.16e+00  1.26e+00    1.36e-02  1.34e-02    1.16e-01  1.26e-01    9.9e-05
  10000    1.02e+00  1.10e+00    9.14e-03  8.96e-03    1.15e-01  1.25e-01    7.7e-05
  11000    8.94e-01  9.71e-01    1.03e-02  1.02e-02    1.15e-01  1.25e-01    6.0e-05
  12000    7.87e-01  8.54e-01    4.43e-03  4.24e-03    1.15e-01  1.25e-01    4.6e-05
  13000    6.93e-01  7.53e-01    4.04e-03  3.87e-03    1.15e-01  1.24e-01    3.6e-05
  14000    6.12e-01  6.64e-01    4.44e-03  4.26e-03    1.14e-01  1.24e-01    2.8e-05
  15000    5.41e-01  5.87e-01    3.96e-03  3.78e-03    1.14e-01  1.24e-01    2.1e-05
  16000    4.79e-01  5.19e-01    3.32e-03  3.14e-03    1.14e-01  1.24e-01    1.7e-05
  17000    4.24e-01  4.60e-01    2.53e-03  2.35e-03    1.14e-01  1.24e-01    1.3e-05
  18000    3.77e-01  4.09e-01    4.50e-04  4.41e-04    1.14e-01  1.24e-01    9.9e-06
  19000    3.36e-01  3.64e-01    3.86e-04  4.19e-04    1.14e-01  1.24e-01    7.7e-06
  20000    3.01e-01  3.26e-01    4.23e-04  4.29e-04    1.14e-01  1.24e-01    5.9e-06
  21000    2.70e-01  2.93e-01    4.30e-04  4.32e-04    1.14e-01  1.24e-01    4.6e-06
  22000    2.44e-01  2.64e-01    4.06e-04  4.23e-04    1.14e-01  1.24e-01    3.5e-06
  23000    2.21e-01  2.39e-01    3.22e-04  4.08e-04    1.14e-01  1.24e-01    2.7e-06
  24000    2.02e-01  2.19e-01    4.28e-04  6.86e-04    1.14e-01  1.24e-01    2.1e-06
  25000    1.86e-01  2.01e-01    5.96e-04  8.49e-04    1.14e-01  1.24e-01    1.6e-06
  26000    1.72e-01  1.87e-01    4.25e-04  6.82e-04    1.14e-01  1.24e-01    1.3e-06
  27000    1.61e-01  1.74e-01    3.38e-04  5.93e-04    1.14e-01  1.24e-01    9.8e-07
  28000    1.52e-01  1.64e-01    3.01e-04  5.51e-04    1.14e-01  1.24e-01    7.6e-07
  29000    1.44e-01  1.56e-01    8.90e-04  7.68e-04    1.14e-01  1.24e-01    5.9e-07
  30000    1.38e-01  1.49e-01    7.76e-04  6.69e-04    1.14e-01  1.24e-01    4.6e-07
  31000    1.33e-01  1.44e-01    6.93e-04  6.01e-04    1.14e-01  1.24e-01    3.5e-07
  32000    1.29e-01  1.40e-01    6.27e-04  5.50e-04    1.14e-01  1.24e-01    2.7e-07
  33000    1.26e-01  1.36e-01    5.71e-04  5.11e-04    1.14e-01  1.24e-01    2.1e-07
  34000    1.23e-01  1.34e-01    5.32e-04  4.85e-04    1.14e-01  1.24e-01    1.6e-07
  35000    1.21e-01  1.31e-01    5.50e-04  4.97e-04    1.14e-01  1.24e-01    1.3e-07
  36000    1.20e-01  1.30e-01    6.99e-04  6.06e-04    1.14e-01  1.24e-01    9.8e-08
  37000    1.19e-01  1.28e-01    7.56e-04  6.52e-04    1.14e-01  1.24e-01    7.6e-08
  38000    1.18e-01  1.27e-01    7.42e-04  6.40e-04    1.14e-01  1.24e-01    5.9e-08
  39000    1.17e-01  1.27e-01    7.18e-04  6.21e-04    1.14e-01  1.24e-01    4.5e-08
  40000    1.16e-01  1.26e-01    6.96e-04  6.04e-04    1.14e-01  1.24e-01    3.5e-08
