#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.017324e+00       2.132917e-01       4.148666e-01       1.502898e-02       7.370744e-03       1.050770e-02
          10       1.024033e+00       2.244136e-01       4.154341e-01       1.359524e-02       7.596864e-03       9.120678e-03
          20       1.040794e+00       2.341178e-01       4.220795e-01       1.519385e-02       6.496701e-03       8.962266e-03
          30       1.070875e+00       2.354093e-01       4.332116e-01       2.218688e-02       8.170997e-03       1.317981e-02
          40       1.098053e+00       2.254422e-01       4.441248e-01       1.016788e-02       6.114264e-03       8.025430e-03
          50       1.092160e+00       2.243387e-01       4.483588e-01       2.106012e-02       1.063208e-02       1.409551e-02
          60       1.068275e+00       2.474324e-01       4.530141e-01       7.688441e-02       1.313477e-02       3.620158e-02
          70       1.048442e+00       2.242415e-01       4.395818e-01       3.302417e-02       1.509461e-02       1.938477e-02
          80       1.029923e+00       2.292606e-01       4.329449e-01       3.890682e-02       9.549126e-03       2.304373e-02
          90       1.026837e+00       2.520617e-01       4.398322e-01       8.414315e-02       2.074680e-02       3.952680e-02
         100       1.052557e+00       2.193105e-01       4.334422e-01       1.984542e-02       1.120716e-02       1.466953e-02
         110       1.082457e+00       2.417464e-01       4.363277e-01       1.528040e-02       7.553558e-03       1.044602e-02
         120       1.092119e+00       2.428611e-01       4.416843e-01       2.269262e-02       9.559968e-03       1.485760e-02
         130       1.083882e+00       2.357447e-01       4.391181e-01       6.882175e-03       2.410028e-03       4.350754e-03
         140       1.045726e+00       2.217693e-01       4.309882e-01       2.918250e-02       9.871957e-03       1.916556e-02
         150       9.991257e-01       2.248494e-01       4.210820e-01       4.148686e-02       1.426908e-02       2.331417e-02
         160       9.782003e-01       2.151977e-01       4.138581e-01       3.201110e-02       1.129145e-02       1.844928e-02
         170       9.808342e-01       2.127498e-01       4.141265e-01       3.605222e-02       1.203606e-02       2.130742e-02
         180       1.013979e+00       2.237917e-01       4.265534e-01       3.873994e-02       1.150222e-02       2.103253e-02
         190       1.058800e+00       2.289857e-01       4.364667e-01       1.651222e-02       8.652458e-03       1.173280e-02
         200       1.085553e+00       2.396491e-01       4.410513e-01       1.910267e-02       4.766667e-03       1.005475e-02
         210       1.088106e+00       2.465212e-01       4.370260e-01       1.970687e-02       7.550098e-03       1.323071e-02
         220       1.068830e+00       2.513592e-01       4.280827e-01       6.218722e-03       4.063030e-03       5.063204e-03
         230       1.043483e+00       2.287595e-01       4.223850e-01       1.115070e-02       7.025177e-03       8.469092e-03
         240       1.027912e+00       2.207411e-01       4.186946e-01       1.137099e-02       4.139533e-03       7.998551e-03
         250       1.027736e+00       2.250020e-01       4.232021e-01       2.473510e-02       8.117408e-03       1.522162e-02
         260       1.043910e+00       2.245098e-01       4.322739e-01       1.982607e-02       3.234234e-03       1.017012e-02
         270       1.069478e+00       2.226359e-01       4.414291e-01       2.517813e-02       8.687814e-03       1.545845e-02
         280       1.094337e+00       2.341558e-01       4.561459e-01       3.752252e-02       9.878832e-03       1.914290e-02
         290       1.105715e+00       2.314405e-01       4.611403e-01       3.295499e-02       1.005063e-02       1.862303e-02
         300       1.100015e+00       2.212763e-01       4.535198e-01       2.432954e-02       1.023381e-02       1.711161e-02
